tanggal,komoditas,model,horizon_bulan,prediksi_ketersediaan,satuan,validation_sMAPE_pct
2028-07-01,Jagung,SARIMA,31,1434.3199535091928,Ton,54.932103
2028-08-01,Jagung,SARIMA,32,2417.4059849382916,Ton,54.932103
2028-09-01,Jagung,SARIMA,33,2211.03549818216,Ton,54.932103
2028-10-01,Jagung,SARIMA,34,2956.210588094345,Ton,54.932103
2028-11-01,Jagung,SARIMA,35,1733.5789328252908,Ton,54.932103
2028-12-01,Jagung,SARIMA,36,1112.5718705993968,Ton,54.932103
2026-01-01,Telur Ayam Ras,Global LSTM,1,35160.39109279024,Ton,5.355978
2026-02-01,Telur Ayam Ras,Global LSTM,2,34097.7967035071,Ton,5.355978
2026-03-01,Telur Ayam Ras,Global LSTM,3,33064.74909923837,Ton,5.355978
2026-04-01,Telur Ayam Ras,Global LSTM,4,31970.854735522196,Ton,5.355978
2026-05-01,Telur Ayam Ras,Global LSTM,5,30905.77807054559,Ton,5.355978
2026-06-01,Telur Ayam Ras,Global LSTM,6,29837.961694773323,Ton,5.355978
2026-07-01,Telur Ayam Ras,Global LSTM,7,28734.938719914946,Ton,5.355978
2026-08-01,Telur Ayam Ras,Global LSTM,8,27604.595679721762,Ton,5.355978
2026-09-01,Telur Ayam Ras,Global LSTM,9,26488.721619725155,Ton,5.355978
2026-10-01,Telur Ayam Ras,Global LSTM,10,25521.066289591596,Ton,5.355978
2026-11-01,Telur Ayam Ras,Global LSTM,11,24549.776802613855,Ton,5.355978
2026-12-01,Telur Ayam Ras,Global LSTM,12,23828.377878160994,Ton,5.355978
2027-01-01,Telur Ayam Ras,Global LSTM,13,23002.651969225815,Ton,5.355978
2027-02-01,Telur Ayam Ras,Global LSTM,14,22278.470114945536,Ton,5.355978
2027-03-01,Telur Ayam Ras,Global LSTM,15,21596.152469730125,Ton,5.355978
2027-04-01,Telur Ayam Ras,Global LSTM,16,20953.906383305883,Ton,5.355978
2027-05-01,Telur Ayam Ras,Global LSTM,17,20350.610039935484,Ton,5.355978
2027-06-01,Telur Ayam Ras,Global LSTM,18,19783.888271960688,Ton,5.355978
2027-07-01,Telur Ayam Ras,Global LSTM,19,19248.784044347914,Ton,5.355978
2027-08-01,Telur Ayam Ras,Global LSTM,20,18747.10316098923,Ton,5.355978
2027-09-01,Telur Ayam Ras,Global LSTM,21,18277.278462211394,Ton,5.355978
2027-10-01,Telur Ayam Ras,Global LSTM,22,17837.54172588909,Ton,5.355978
2027-11-01,Telur Ayam Ras,Global LSTM,23,17425.647441459332,Ton,5.355978
2027-12-01,Telur Ayam Ras,Global LSTM,24,17040.16562269751,Ton,5.355978
2028-01-01,Telur Ayam Ras,Global LSTM,25,16678.65627339774,Ton,5.355978
2028-02-01,Telur Ayam Ras,Global LSTM,26,16340.406279536046,Ton,5.355978
2028-03-01,Telur Ayam Ras,Global LSTM,27,16023.756406110671,Ton,5.355978
2028-04-01,Telur Ayam Ras,Global LSTM,28,15727.41759852228,Ton,5.355978
2028-05-01,Telur Ayam Ras,Global LSTM,29,15450.159053909996,Ton,5.355978
2028-06-01,Telur Ayam Ras,Global LSTM,30,15190.81855613725,Ton,5.355978
2028-07-01,Telur Ayam Ras,Global LSTM,31,14948.291201261758,Ton,5.355978
2028-08-01,Telur Ayam Ras,Global LSTM,32,14721.55006750723,Ton,5.355978
2028-09-01,Telur Ayam Ras,Global LSTM,33,14509.605814864124,Ton,5.355978
2028-10-01,Telur Ayam Ras,Global LSTM,34,14311.525475973009,Ton,5.355978
2028-11-01,Telur Ayam Ras,Global LSTM,35,14126.430577036235,Ton,5.355978
2028-12-01,Telur Ayam Ras,Global LSTM,36,13953.495258729596,Ton,5.355978
