tanggal,komoditas,nilai,satuan,tahun,bulan,split,nilai_norm_train_minmax,source_file,source_sheet,nama_asli,catatan
2022-07-01,Jagung,255.0,Ton,2022,7,train,0.2857142857142857,lap .bln 22.xlsx,22,Jagung,
2022-08-01,Jagung,63.0,Ton,2022,8,train,0.07058823529411765,lap .bln 22.xlsx,22,Jagung,
2022-09-01,Jagung,19.0,Ton,2022,9,train,0.021288515406162466,lap .bln 22.xlsx,22,Jagung,
2022-10-01,Jagung,50.0,Ton,2022,10,train,0.056022408963585436,lap .bln 22.xlsx,22,Jagung,
2022-11-01,Jagung,59.0,Ton,2022,11,train,0.06610644257703081,lap .bln 22.xlsx,22,Jagung,
2022-12-01,Jagung,126.0,Ton,2022,12,train,0.1411764705882353,lap .bln 22.xlsx,22,Jagung,
2023-01-01,Jagung,94.02499999999999,Ton,2023,1,validation,0.1053501400560224,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-02-01,Jagung,82.086,Ton,2023,2,validation,0.09197310924369748,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-03-01,Jagung,165.451,Ton,2023,3,validation,0.18537927170868346,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-04-01,Jagung,39.248,Ton,2023,4,validation,0.04397535014005602,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-05-01,Jagung,497.43,Ton,2023,5,validation,0.557344537815126,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-06-01,Jagung,504.0,Ton,2023,6,validation,0.5647058823529412,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-07-01,Jagung,400.40000000000003,Ton,2023,7,validation,0.4486274509803922,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-08-01,Jagung,477.40000000000003,Ton,2023,8,validation,0.5349019607843137,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-09-01,Jagung,462.00000000000006,Ton,2023,9,validation,0.5176470588235295,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-10-01,Jagung,477.40000000000003,Ton,2023,10,validation,0.5349019607843137,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-11-01,Jagung,462.00000000000006,Ton,2023,11,validation,0.5176470588235295,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2023-12-01,Jagung,477.4000000000001,Ton,2023,12,validation,0.5349019607843138,rekap ketersediaan 2023.xlsx,Sheet1,Jagung,
2024-01-01,Jagung,519.6799999999997,Ton,2024,1,stress_test,0.5822745098039213,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-02-01,Jagung,400.39999999999986,Ton,2024,2,stress_test,0.44862745098039203,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-03-01,Jagung,893.3065713859964,Ton,2024,3,stress_test,1.0009037214408925,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
